grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28.txt, "21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9", 27, 26, 118759, 0.010365, 1.14577e+07
X, ida, gap, pancake28.txt, "27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14", 26, 26, 17231, 0.001453, 1.18589e+07
X, ida, gap, pancake28.txt, "25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26", 27, 27, 21511, 0.001808, 1.18977e+07
X, ida, gap, pancake28.txt, "24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18", 26, 25, 84520, 0.00715, 1.1821e+07
X, ida, gap, pancake28.txt, "1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23", 26, 25, 13255, 0.001112, 1.192e+07
X, ida, gap, pancake28.txt, "19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16", 26, 25, 359675, 0.029966, 1.20028e+07
X, ida, gap, pancake28.txt, "21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26", 24, 23, 391726, 0.050243, 7.79663e+06
X, ida, gap, pancake28.txt, "7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24", 26, 26, 20278, 0.001744, 1.16273e+07
X, ida, gap, pancake28.txt, "5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3", 26, 26, 3529, 0.000355, 9.94085e+06
X, ida, gap, pancake28.txt, "27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3", 28, 27, 495015, 0.046915, 1.05513e+07
X, ida, gap, pancake28.txt, "26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11", 27, 27, 4496, 0.000349, 1.28825e+07
X, ida, gap, pancake28.txt, "15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25", 26, 25, 15474, 0.001192, 1.29815e+07
X, ida, gap, pancake28.txt, "4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16", 29, 28, 78722, 0.011146, 7.0628e+06
X, ida, gap, pancake28.txt, "15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21", 28, 27, 210741, 0.017106, 1.23197e+07
X, ida, gap, pancake28.txt, "20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4", 27, 26, 57884, 0.004855, 1.19226e+07
X, ida, gap, pancake28.txt, "23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22", 27, 27, 40957, 0.003165, 1.29406e+07
X, ida, gap, pancake28.txt, "10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11", 28, 28, 111693, 0.008523, 1.31049e+07
